tanggal,arena_id,view,quote,reply,participant,posting,expression,polling,bookmark,survey,quis,score
2017-10-12 12:00:00,35,0,0,1,1,1,0,0,0,0,0,3
2017-10-12 12:00:00,45,0,0,0,1,1,0,0,0,0,0,2
2017-10-13 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-13 12:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-10-13 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-13 12:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-10-14 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-14 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-15 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-15 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-16 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-16 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-17 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-17 12:00:00,18,0,0,0,1,1,0,0,0,0,0,2
2017-10-17 12:00:00,23,0,0,0,1,2,0,0,0,0,0,3
2017-10-17 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-17 12:00:00,45,0,0,0,2,3,0,0,0,0,0,5
2017-10-18 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-18 12:00:00,2,0,0,0,1,1,0,0,0,0,0,2
2017-10-18 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-19 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-19 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-20 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-20 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-21 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-21 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-22 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-22 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-23 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-23 12:00:00,29,0,1,0,1,3,1,0,0,0,0,6
2017-10-24 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-24 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-25 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-25 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-25 18:00:00,2,0,0,0,1,1,1,0,0,0,0,3
2017-10-25 18:00:00,61,0,13,5,20,139,10,0,0,0,0,187
2017-10-26 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-26 12:00:00,29,0,0,0,2,2,2,0,0,0,0,6
2017-10-26 18:00:00,29,0,0,3,4,15,5,0,1,0,0,28
2017-10-26 18:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-10-27 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-27 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-27 12:00:00,50,0,0,0,1,1,0,0,0,0,0,2
2017-10-28 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-28 00:00:00,50,0,0,0,1,1,0,0,0,0,0,2
2017-10-28 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-29 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-29 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-30 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-30 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-30 18:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-10-30 18:00:00,29,0,0,0,1,1,3,0,0,0,0,5
2017-10-30 18:00:00,64,0,9,43,25,428,62,13,0,0,0,580
2017-10-31 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-31 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-31 12:00:00,64,0,0,0,1,4,0,0,0,0,0,5
2017-11-01 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-01 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-01 18:00:00,29,0,0,0,1,2,0,0,0,0,0,3
2017-11-01 18:00:00,70,0,0,0,4,8,0,0,0,0,0,12
2017-11-02 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-02 00:00:00,70,0,0,0,1,1,0,0,0,0,0,2
2017-11-02 12:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-11-02 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-02 12:00:00,64,0,0,1,1,2,0,0,0,0,0,4
2017-11-03 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-03 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-04 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-04 12:00:00,23,0,0,0,1,1,0,0,0,0,0,2
2017-11-04 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-05 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-05 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-06 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-06 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-06 12:00:00,73,0,0,13,10,104,8,0,0,0,0,135
2017-11-06 18:00:00,73,0,6,16,5,58,7,0,0,0,0,92
2017-11-07 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-07 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-08 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-08 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-08 12:00:00,79,0,1,2,7,71,3,0,0,0,0,84
2017-11-08 18:00:00,79,0,3,31,11,155,6,5,0,0,0,211
2017-11-09 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-09 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-10 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-10 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-11 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-11 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-12 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-12 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-13 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-13 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-14 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-14 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-15 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-11-15 12:00:00,2,0,0,0,1,7,1,0,0,0,0,9
2017-11-15 12:00:00,29,0,0,0,2,2,2,0,0,0,0,6
2017-11-15 18:00:00,2,0,0,0,1,1,0,0,0,0,0,2
2017-11-15 18:00:00,8,0,0,0,1,2,0,0,0,0,0,3
2017-11-16 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
